,Open,High,Low,Close,Volume
2019-11-25,153.60000610351562,154.39999389648438,138.0,144.39999389648438,292575
2019-11-26,143.8000030517578,150.1999969482422,143.1999969482422,145.1999969482422,93095
2019-11-27,145.0,149.39999389648438,141.39999389648438,146.39999389648438,76740
2019-11-29,149.60000610351562,149.60000610351562,143.60000610351562,145.0,38835
2019-12-02,146.60000610351562,150.39999389648438,142.72000122070312,148.8000030517578,66665
2019-12-03,148.1999969482422,150.0,145.8000030517578,149.1999969482422,59145
2019-12-04,150.39999389648438,150.8000030517578,144.0,144.39999389648438,61400
2019-12-05,146.0,149.60000610351562,144.10000610351562,144.39999389648438,57040
2019-12-06,146.8000030517578,146.8000030517578,144.39999389648438,145.1999969482422,42645
2019-12-09,157.39999389648438,175.0,157.0,168.39999389648438,486080
2019-12-10,176.0,194.0,176.0,179.39999389648438,576205
2019-12-11,184.1999969482422,188.39999389648438,181.0,186.8000030517578,248675
2019-12-12,191.0,191.60000610351562,177.1999969482422,183.39999389648438,207710
2019-12-13,183.8000030517578,185.5,175.0,180.60000610351562,107145
2019-12-16,180.0,187.60000610351562,179.60000610351562,185.8000030517578,179975
2019-12-17,185.1999969482422,187.60000610351562,184.02000427246094,186.8000030517578,153320
2019-12-18,186.0,193.39999389648438,186.0,191.1999969482422,190975
2019-12-19,190.1999969482422,210.0,190.1999969482422,207.39999389648438,315925
2019-12-20,210.0,217.8000030517578,204.0,215.39999389648438,497690
2019-12-23,219.8000030517578,220.0,211.39999389648438,219.0,188095
2019-12-24,221.0,229.8000030517578,220.1999969482422,228.1999969482422,125665
2019-12-26,230.0,237.39999389648438,211.8000030517578,218.0,289665
2019-12-27,217.39999389648438,234.0,212.39999389648438,231.1999969482422,342620
2019-12-30,232.0,234.39999389648438,221.60000610351562,229.8000030517578,207990
2019-12-31,226.39999389648438,232.8000030517578,226.0,231.0,101505
2020-01-02,234.0,237.8000030517578,228.60000610351562,235.8000030517578,196035
2020-01-03,230.8000030517578,238.0,230.0,236.1999969482422,115590
2020-01-06,236.1999969482422,236.9600067138672,221.0,227.60000610351562,155035
2020-01-07,228.0,229.0,221.22000122070312,227.1999969482422,85925
2020-01-08,222.39999389648438,230.0,222.1999969482422,228.39999389648438,92150
2020-01-09,230.39999389648438,243.39999389648438,228.8000030517578,240.8000030517578,301760
2020-01-10,246.39999389648438,260.0,246.39999389648438,256.6000061035156,303945
2020-01-13,260.6000061035156,282.20001220703125,260.0,274.0,483490
2020-01-14,285.3999938964844,287.6000061035156,274.0,279.3999938964844,379400
2020-01-15,282.3999938964844,319.3999938964844,275.0,296.79998779296875,715645
2020-01-16,315.20001220703125,320.20001220703125,291.20001220703125,298.79998779296875,615460
2020-01-17,300.79998779296875,316.0,295.20001220703125,312.79998779296875,328955
2020-01-21,326.20001220703125,352.0,324.20001220703125,346.0,765140
2020-01-22,368.6000061035156,396.79998779296875,362.0,394.3999938964844,1757970
2020-01-23,378.6000061035156,394.6000061035156,352.20001220703125,382.3999938964844,1217085
2020-01-24,372.0,385.0,324.6000061035156,344.20001220703125,990810
2020-01-27,318.0,360.0,312.20001220703125,348.79998779296875,641930
2020-01-28,359.20001220703125,370.0,352.0,359.3999938964844,547320
2020-01-29,363.20001220703125,363.20001220703125,342.20001220703125,351.6000061035156,319765
2020-01-30,342.20001220703125,355.3999938964844,331.6000061035156,342.0,365715
2020-01-31,340.5799865722656,356.6000061035156,337.0,343.0,312395
2020-02-03,343.0,378.79998779296875,343.0,372.20001220703125,419640
2020-02-04,386.20001220703125,400.0,375.29998779296875,393.79998779296875,729165
2020-02-05,400.20001220703125,401.79998779296875,360.79998779296875,373.79998779296875,465160
2020-02-06,369.20001220703125,379.3999938964844,361.0,370.3999938964844,240980
2020-02-07,369.20001220703125,385.0,365.6000061035156,378.6000061035156,351795
2020-02-10,386.20001220703125,413.6000061035156,380.0,411.0,763615
2020-02-11,432.3999938964844,445.6000061035156,415.0,438.79998779296875,804595
2020-02-12,443.79998779296875,489.6000061035156,421.0,461.6000061035156,1390475
2020-02-13,455.0,493.79998779296875,454.5,473.20001220703125,1095515
2020-02-14,491.20001220703125,575.7999877929688,481.20001220703125,573.5999755859375,2280460
2020-02-18,643.4000244140625,774.4000244140625,574.2000122070312,606.0,5185790
2020-02-19,686.0,750.0,640.0,747.0,4244555
2020-02-20,775.7999877929688,849.7999877929688,611.2000122070312,745.2000122070312,6795100
2020-02-21,688.4000244140625,720.0,651.0,677.4000244140625,2261005
2020-02-24,592.0,731.4000244140625,582.0,685.7999877929688,2305510
2020-02-25,743.5999755859375,746.0,660.0,680.7999877929688,2204635
2020-02-26,636.0,693.7999877929688,552.0,575.0,1995135
2020-02-27,473.79998779296875,500.0,382.20001220703125,439.3999938964844,2399385
2020-02-28,399.20001220703125,515.7999877929688,385.0,492.0,1772635
2020-03-02,548.7999877929688,560.0,501.0,519.5999755859375,1179940
2020-03-03,538.0,549.0,475.20001220703125,494.20001220703125,1004905
2020-03-04,510.3999938964844,515.0,457.20001220703125,475.20001220703125,773320
2020-03-05,453.6000061035156,486.79998779296875,440.6000061035156,481.79998779296875,706205
2020-03-06,449.20001220703125,465.6000061035156,420.0,433.3999938964844,643390
2020-03-09,367.79998779296875,407.3999938964844,340.0,388.79998779296875,665385
2020-03-10,416.20001220703125,422.3999938964844,360.0,368.79998779296875,620305
2020-03-11,358.3999938964844,365.20001220703125,310.0,328.20001220703125,685070
2020-03-12,265.6000061035156,321.79998779296875,262.6000061035156,276.20001220703125,764345
2020-03-13,310.3999938964844,315.6000061035156,269.6000061035156,293.79998779296875,602235
2020-03-16,243.8000030517578,272.0,234.39999389648438,238.1999969482422,544815
2020-03-17,247.1999969482422,268.6000061035156,223.8000030517578,253.1999969482422,605910
2020-03-18,230.60000610351562,235.39999389648438,181.1999969482422,211.1999969482422,718120
2020-03-19,201.60000610351562,228.0,188.0,209.8000030517578,542525
2020-03-20,229.1999969482422,294.79998779296875,219.72000122070312,224.60000610351562,1069215
2020-03-23,234.60000610351562,266.79998779296875,220.1999969482422,259.3999938964844,839275
2020-03-24,311.79998779296875,348.79998779296875,292.6199951171875,326.3999938964844,1572285
2020-03-25,355.79998779296875,367.79998779296875,308.0,320.0,1150655
2020-03-26,328.79998779296875,363.6000061035156,314.6000061035156,341.20001220703125,899865
2020-03-27,328.0,328.0,302.20001220703125,307.6000061035156,545970
2020-03-30,308.20001220703125,315.0,288.3999938964844,295.20001220703125,468240
2020-03-31,297.3999938964844,319.20001220703125,291.0,295.6000061035156,464415
2020-04-01,278.3999938964844,288.6000061035156,257.6000061035156,266.0,471185
2020-04-02,258.79998779296875,276.0,248.0,259.20001220703125,429880
2020-04-03,259.3999938964844,270.0,242.0,243.8000030517578,381950
2020-04-06,269.20001220703125,289.79998779296875,260.79998779296875,286.0,576610
2020-04-07,314.6000061035156,321.3999938964844,276.3999938964844,281.3999938964844,698300
2020-04-08,289.0,313.20001220703125,282.20001220703125,307.20001220703125,614570
2020-04-09,320.0,328.0,298.3999938964844,305.3999938964844,528455
2020-04-13,311.79998779296875,315.6000061035156,296.20001220703125,309.20001220703125,329650
2020-04-14,320.6000061035156,405.79998779296875,319.20001220703125,380.6000061035156,1913180
2020-04-15,362.20001220703125,421.3999938964844,352.3999938964844,399.6000061035156,1583880
2020-04-16,407.20001220703125,416.0,354.2200012207031,366.0,1047200
2020-04-17,384.20001220703125,392.0,370.0,378.0,451435
2020-04-20,365.3999938964844,397.0,358.20001220703125,380.0,581415
2020-04-21,361.79998779296875,378.0,331.20001220703125,337.3999938964844,575400
2020-04-22,354.20001220703125,355.79998779296875,336.20001220703125,345.3999938964844,432810
2020-04-23,346.6000061035156,353.3999938964844,327.6000061035156,333.20001220703125,390285
2020-04-24,333.3999938964844,344.5199890136719,320.0,340.3999938964844,397545
2020-04-27,345.20001220703125,369.2200012207031,331.3999938964844,357.79998779296875,705330
2020-04-28,368.20001220703125,376.6000061035156,346.6000061035156,351.20001220703125,509545
2020-04-29,357.79998779296875,377.20001220703125,356.0,364.6000061035156,469725
2020-04-30,360.0,363.3999938964844,344.3999938964844,352.3999938964844,330170
2020-05-01,340.20001220703125,362.0,311.0,358.3999938964844,771075
2020-05-04,339.20001220703125,349.6000061035156,318.0,333.6000061035156,331625
2020-05-05,339.6000061035156,347.3999938964844,327.3999938964844,332.3999938964844,383920
2020-05-06,355.0,379.0,334.0,370.0,1189065
2020-05-07,379.3999938964844,420.0,371.3999938964844,396.79998779296875,1246380
2020-05-08,408.3999938964844,430.6000061035156,376.0,403.6000061035156,1181600
2020-05-11,378.20001220703125,399.79998779296875,370.0,388.0,654615
2020-05-12,388.79998779296875,397.79998779296875,351.0,352.0,637080
2020-05-13,350.3999938964844,353.0,323.20001220703125,330.79998779296875,449310
2020-05-14,325.0,326.20001220703125,301.0,317.6000061035156,467525
2020-05-15,312.0,329.20001220703125,309.5,312.3999938964844,399620
2020-05-18,334.0,336.0,318.0,320.0,431515
2020-05-19,320.20001220703125,328.6000061035156,312.3999938964844,317.3999938964844,334425
2020-05-20,304.79998779296875,311.6000061035156,296.20001220703125,297.20001220703125,1012995
2020-05-21,301.0,305.6000061035156,292.0,294.20001220703125,473000
2020-05-22,299.20001220703125,318.3999938964844,292.3999938964844,314.79998779296875,670565
2020-05-26,323.20001220703125,337.0,308.3999938964844,326.6000061035156,808050
2020-05-27,340.20001220703125,354.79998779296875,321.0,350.3999938964844,1046365
2020-05-28,340.0,345.0,326.0,329.3999938964844,492240
2020-05-29,328.20001220703125,343.79998779296875,326.0,340.79998779296875,529625
2020-06-01,367.20001220703125,374.0,345.20001220703125,350.3999938964844,1127800
2020-06-02,337.79998779296875,337.79998779296875,315.20001220703125,316.3999938964844,1218200
2020-06-03,307.0,335.79998779296875,304.0,327.79998779296875,1495005
2020-06-04,324.20001220703125,328.79998779296875,315.20001220703125,317.20001220703125,679065
2020-06-05,324.20001220703125,325.3999938964844,313.20001220703125,315.3999938964844,659315
2020-06-08,322.79998779296875,347.3999938964844,320.0,345.79998779296875,1067260
2020-06-09,345.0,345.79998779296875,325.6000061035156,332.79998779296875,554355
2020-06-10,333.3999938964844,335.7799987792969,317.20001220703125,323.20001220703125,499820
2020-06-11,304.79998779296875,313.20001220703125,286.0,289.20001220703125,875850
2020-06-12,302.6000061035156,304.79998779296875,286.20001220703125,299.79998779296875,573035
2020-06-15,289.0,310.70001220703125,284.20001220703125,306.3999938964844,517510
2020-06-16,320.3999938964844,321.6000061035156,301.3999938964844,307.0,431240
2020-06-17,305.6000061035156,314.6000061035156,298.3999938964844,299.6000061035156,348360
2020-06-18,298.3999938964844,309.1000061035156,295.3999938964844,304.0,356110
2020-06-19,306.0,313.3999938964844,298.79998779296875,300.0,736650
2020-06-22,354.0,354.0,322.3999938964844,347.79998779296875,2637890
2020-06-23,349.0,351.6000061035156,328.0,329.0,982960
2020-06-24,324.79998779296875,332.20001220703125,306.0,310.0,660615
2020-06-25,314.0,316.6000061035156,300.3999938964844,305.0,725800
2020-06-26,322.0,322.0,301.6000061035156,311.0,1008650
2020-06-29,308.0,311.79998779296875,293.0,308.3999938964844,646520
2020-06-30,304.20001220703125,328.0,299.0,326.79998779296875,699280
2020-07-01,334.0,337.79998779296875,317.20001220703125,334.0,748050
2020-07-02,335.6000061035156,346.79998779296875,323.3999938964844,325.0,588395
2020-07-06,331.6000061035156,341.79998779296875,321.0,339.0,695075
2020-07-07,332.6000061035156,336.79998779296875,323.0199890136719,331.0,410200
2020-07-08,332.20001220703125,336.3999938964844,324.0,335.79998779296875,436130
2020-07-09,342.0,389.79998779296875,341.6000061035156,389.20001220703125,2574895
2020-07-10,386.3999938964844,399.6000061035156,365.3999938964844,385.0,1388450
2020-07-13,391.0,419.79998779296875,354.239990234375,362.0,1800885
2020-07-14,362.2200012207031,372.20001220703125,341.0,368.6000061035156,790130
2020-07-15,379.3999938964844,382.79998779296875,361.20001220703125,371.0,582490
2020-07-16,389.20001220703125,444.0,381.3999938964844,421.3999938964844,2639390
2020-07-17,455.79998779296875,495.55999755859375,445.20001220703125,481.0,2729085
2020-07-20,475.20001220703125,477.3999938964844,440.0,459.6000061035156,1037500
2020-07-21,462.3999938964844,526.4000244140625,459.0,498.6000061035156,2004540
2020-07-22,490.6000061035156,530.5999755859375,490.0,510.79998779296875,1340145
2020-07-23,522.5999755859375,551.0,476.20001220703125,503.0,1964730
2020-07-24,480.0,497.0,462.0,486.20001220703125,1025415
2020-07-27,500.3999938964844,513.5999755859375,475.3999938964844,498.3999938964844,858420
2020-07-28,504.0,516.0,472.0,477.20001220703125,1158130
2020-07-29,473.79998779296875,485.6000061035156,452.6000061035156,459.3999938964844,712695
2020-07-30,444.0,468.0,438.20001220703125,457.6000061035156,461435
2020-07-31,463.3999938964844,468.0,441.6000061035156,449.0,357335
2020-08-03,473.0,486.0,453.20001220703125,480.3999938964844,1110590
2020-08-04,435.0,443.6000061035156,413.6000061035156,414.3999938964844,1172960
2020-08-05,401.79998779296875,413.6000061035156,386.20001220703125,403.0,850495
2020-08-06,396.0,400.0,381.0,386.79998779296875,1107935
2020-08-07,381.3999938964844,386.0,362.6000061035156,365.0,981300
2020-08-10,369.3999938964844,390.3999938964844,368.3999938964844,384.6000061035156,623190
2020-08-11,391.0,393.3999938964844,362.79998779296875,365.6000061035156,531940
2020-08-12,366.79998779296875,368.79998779296875,356.20001220703125,363.20001220703125,428065
2020-08-13,364.0,389.6000061035156,360.3999938964844,375.3999938964844,780135
2020-08-14,377.3999938964844,381.79998779296875,365.6000061035156,371.0,396230
2020-08-17,373.6000061035156,374.6000061035156,344.79998779296875,363.3999938964844,778775
2020-08-18,360.79998779296875,367.3999938964844,349.6000061035156,354.6000061035156,495975
2020-08-19,354.79998779296875,363.6000061035156,350.0,350.6000061035156,384520
2020-08-20,350.0,352.20001220703125,337.20001220703125,346.20001220703125,552010
2020-08-21,345.0,352.0,335.3999938964844,337.3999938964844,447370
2020-08-24,340.0,354.0,334.44000244140625,352.6000061035156,475990
2020-08-25,355.79998779296875,356.79998779296875,342.6000061035156,349.79998779296875,329585
2020-08-26,349.6000061035156,370.0,344.6000061035156,346.79998779296875,668150
2020-08-27,351.6000061035156,353.0,337.0,345.6000061035156,446365
2020-08-28,347.0,351.20001220703125,342.20001220703125,349.20001220703125,249765
2020-08-31,362.6000061035156,365.20001220703125,348.6000061035156,358.0,639070
2020-09-01,357.79998779296875,358.3999938964844,346.6000061035156,348.20001220703125,453635
2020-09-02,350.0,350.79998779296875,326.6000061035156,342.0,670685
2020-09-03,332.6000061035156,343.79998779296875,324.3999938964844,330.6000061035156,615890
2020-09-04,331.3999938964844,337.79998779296875,297.20001220703125,318.3999938964844,751425
2020-09-08,327.79998779296875,365.0,320.0,348.0,1013355
2020-09-09,363.6000061035156,374.1000061035156,342.3999938964844,354.20001220703125,1010225
2020-09-10,356.79998779296875,369.20001220703125,345.79998779296875,349.0,637490
2020-09-11,349.0,352.0,326.6000061035156,331.20001220703125,638235
2020-09-14,336.0,349.3800048828125,332.3999938964844,347.79998779296875,381480
2020-09-15,349.6000061035156,361.6000061035156,343.3999938964844,354.0,445455
2020-09-16,350.6000061035156,355.79998779296875,345.6000061035156,348.20001220703125,336040
2020-09-17,340.0,346.3999938964844,334.3999938964844,343.6000061035156,365810
2020-09-18,344.3999938964844,347.6000061035156,336.29998779296875,344.20001220703125,413790
2020-09-21,335.20001220703125,339.739990234375,317.8999938964844,329.6000061035156,540870
2020-09-22,329.79998779296875,332.20001220703125,322.3999938964844,329.3999938964844,348595
2020-09-23,328.79998779296875,333.79998779296875,310.79998779296875,314.6000061035156,498255
2020-09-24,310.0,326.79998779296875,298.3999938964844,318.3999938964844,594550
2020-09-25,319.3999938964844,329.3999938964844,317.3999938964844,328.6000061035156,271425
2020-09-28,365.79998779296875,415.6000061035156,362.0,410.20001220703125,2728585
2020-09-29,413.79998779296875,419.6000061035156,391.79998779296875,408.79998779296875,1611230
2020-09-30,401.20001220703125,417.0,379.20001220703125,384.6000061035156,981610
2020-10-01,385.0,407.3999938964844,383.0,403.3999938964844,695695
2020-10-02,381.3999938964844,418.20001220703125,376.3999938964844,415.3999938964844,978370
2020-10-05,424.3999938964844,432.79998779296875,411.20001220703125,420.20001220703125,662645
2020-10-06,425.3999938964844,450.6000061035156,416.0,420.6000061035156,1193725
2020-10-07,432.20001220703125,445.20001220703125,430.44000244140625,436.3999938964844,653305
2020-10-08,449.0,450.79998779296875,431.0,441.79998779296875,507385
2020-10-09,443.20001220703125,444.05999755859375,426.20001220703125,428.0,503910
2020-10-12,430.0,430.0,411.0,411.3999938964844,435120
2020-10-13,410.0,439.6000061035156,398.3999938964844,436.20001220703125,654060
2020-10-14,437.6000061035156,439.0,419.6000061035156,426.6000061035156,418490
2020-10-15,418.0,437.20001220703125,413.20001220703125,432.79998779296875,388235
2020-10-16,440.0,468.0,437.3999938964844,448.79998779296875,1186670
2020-10-19,460.0,472.3999938964844,444.6000061035156,456.3999938964844,863805
2020-10-20,458.20001220703125,487.3999938964844,453.0400085449219,460.6000061035156,1293190
2020-10-21,464.79998779296875,467.0,405.0,408.79998779296875,1050495
2020-10-22,412.79998779296875,426.0,410.0,414.6000061035156,433115
2020-10-23,416.0,416.3999938964844,381.0,382.79998779296875,807420
2020-10-26,380.0,384.79998779296875,358.20001220703125,366.3999938964844,630600
2020-10-27,368.6000061035156,379.6000061035156,364.0,365.79998779296875,302305
2020-10-28,359.6000061035156,363.0,346.6000061035156,349.6000061035156,443960
2020-10-29,353.6000061035156,366.29998779296875,349.3999938964844,363.6000061035156,430715
2020-10-30,362.6000061035156,362.6000061035156,340.3999938964844,348.3999938964844,400095
2020-11-02,348.6000061035156,363.79998779296875,342.79998779296875,353.20001220703125,493665
2020-11-03,357.79998779296875,373.3999938964844,353.5799865722656,369.0,424115
2020-11-04,369.79998779296875,376.20001220703125,357.0,360.6000061035156,392365
2020-11-05,365.0,383.3999938964844,360.6000061035156,383.3999938964844,593175
2020-11-06,400.0,404.0,367.3999938964844,380.6000061035156,669390
2020-11-09,400.0,427.6000061035156,386.79998779296875,409.0,727245
2020-11-10,415.3999938964844,418.6000061035156,382.20001220703125,409.3999938964844,494360
2020-11-11,417.79998779296875,447.6000061035156,412.0,438.79998779296875,643700
2020-11-12,429.0,445.0,417.79998779296875,432.3999938964844,480835
2020-11-13,440.3999938964844,447.0,422.6000061035156,445.3999938964844,361095
2020-11-16,412.6000061035156,424.3999938964844,396.79998779296875,417.79998779296875,1129480
2020-11-17,416.3999938964844,432.0,407.3999938964844,427.0,456260
2020-11-18,428.79998779296875,473.79998779296875,425.0,451.79998779296875,930820
2020-11-19,463.0,486.79998779296875,455.6000061035156,481.0,713925
2020-11-20,490.6000061035156,492.0,461.0,466.20001220703125,562250
2020-11-23,472.20001220703125,507.9800109863281,470.0,498.20001220703125,679830
2020-11-24,503.79998779296875,507.6000061035156,486.20001220703125,499.20001220703125,457925
2020-11-25,495.0,556.0,492.3999938964844,542.0,904160
2020-11-27,576.2000122070312,577.6400146484375,541.0,543.4000244140625,546955
2020-11-30,551.5999755859375,560.7999877929688,506.3999938964844,532.2000122070312,637555
2020-12-01,560.0,591.7999877929688,542.4000244140625,567.0,950680
2020-12-02,560.0,560.4000244140625,525.7999877929688,550.5999755859375,819380
2020-12-03,555.7999877929688,575.5399780273438,551.2000122070312,561.5999755859375,459485
2020-12-04,564.0,584.0,563.0,574.7999877929688,434320
2020-12-07,591.4000244140625,677.4000244140625,580.7999877929688,676.0,1406880
2020-12-08,661.4000244140625,673.7999877929688,632.2000122070312,667.7999877929688,1077715
2020-12-09,680.0,716.4000244140625,610.2000122070312,642.5999755859375,1297840
2020-12-10,604.5999755859375,652.0,592.2000122070312,643.5999755859375,730885
2020-12-11,639.0,692.0,637.2000122070312,640.7999877929688,924845
2020-12-14,542.2000122070312,576.5999755859375,527.5999755859375,529.4000244140625,2356040
2020-12-15,538.2000122070312,541.0,487.6000061035156,490.20001220703125,1541545
2020-12-16,499.6000061035156,537.3200073242188,490.20001220703125,517.2000122070312,1131970
2020-12-17,513.0,523.0,494.0,510.0,926185
2020-12-18,480.0,506.6000061035156,475.6000061035156,476.79998779296875,1516940
2020-12-21,483.3999938964844,506.1000061035156,478.3999938964844,496.0,792240
2020-12-22,508.3999938964844,518.7999877929688,487.0,509.3999938964844,845520
2020-12-23,511.0,548.7999877929688,504.6000061035156,536.4000244140625,915030
2020-12-24,536.2000122070312,537.7999877929688,505.20001220703125,517.0,439225
2020-12-28,523.2000122070312,529.7999877929688,472.20001220703125,478.79998779296875,810885
2020-12-29,480.79998779296875,484.79998779296875,460.20001220703125,475.0,467340
2020-12-30,477.79998779296875,487.6000061035156,473.0,480.20001220703125,317375
2020-12-31,481.79998779296875,482.79998779296875,465.0,474.6000061035156,286075
2021-01-04,479.20001220703125,479.3999938964844,457.6000061035156,464.20001220703125,383885
2021-01-05,461.6000061035156,489.6000061035156,459.20001220703125,482.3999938964844,378235
2021-01-06,480.6000061035156,498.6000061035156,474.3999938964844,483.3999938964844,402650
2021-01-07,505.0,519.2000122070312,493.79998779296875,502.6000061035156,653325
2021-01-08,513.2000122070312,517.2000122070312,496.0,504.3999938964844,425455
2021-01-11,499.3999938964844,514.0,488.6000061035156,498.3999938964844,324570
2021-01-12,503.0,534.5999755859375,499.79998779296875,533.2000122070312,603495
2021-01-13,531.2000122070312,557.0,525.0,551.2000122070312,750940
